HolidayPlace,City,Countryside,Seaside,Riverside,Mountains,Hotel,Hostel,Camping,Train,Train + Bike,Bus,Explore Nature,Food,Culture,Party,Relaxing,Active Holiday,Picture,Description,Link
Rügen Island,0,1,1,0,0,1,1,1,1,0,1,1,0,0,0,1,1,https://www.tourism.de/wp-content/uploads/2017/05/Rugen-Chalk-Coast.jpg,"Rügen is an island just off the Pomeranian coast of the Baltic Sea, and is the largest island in Germany covering over 900 square km. Lying in the state of Mecklenburg-Western Pomerania, it contains the towns Bergen, Sassnitz, Putbus and Garz, alongside the seaside resorts of Binz, Baabe, Göhren, Selling and Thiessow. This variety of destinations within one locality makes Rügen an ideal tourism and vacation centre, offering everything a visitor could look for, from more than 60km of unspoiled fine, sandy beaches, to the Jasmund National Park with its heritage forests and sheer white cliffs.",https://www.tourism.de/rugen-island/
Usedom Island,0,1,1,0,0,1,1,1,1,0,0,1,0,0,0,1,1,http://www.usedomisland.com/images/usedomguide01.jpg,"The island of Usedom, also known as Berlin's Bathtub (Badewanne Berlins) is located in the Pomerania Euroregion where the most famous and beautiful Baltic seaside resorts were established in the 19th century. It's also the sunniest part of Germany and Poland. The island has 44 km (27 miles) of shoreline with pristine, sandy beaches. It could be compared in many ways to Martha's Vineyard, Nantucket or The Hamptons in the USA, for example.",http://www.usedomisland.com/
Fehmarn Island,0,1,1,0,0,1,1,1,1,0,0,1,0,0,0,1,1,https://img.fotocommunity.com/fehmarn-suedstrand-blick-auf-die-see-abendstimmung-1606ae3c-c132-492e-a2c5-c49b1ce83839.jpg?height=1080,"Fehmarn is the only Baltic Sea island of Schleswig-Holstein and at the same time a city agglomeration in Schleswig-Holstein, which was formed in 2003 by the merger of all municipalities on the island. With an area of 185 square kilometres, Fehmarn is thus the second largest town in Schleswig-Holstein and the third largest German island. The island’s name goes back to ""fe mer"", Slavonic for ""situated by the sea"". On 3 May 1580, under Count Johann, Fehmarn received the fief flag with its present pattern, a golden crown on a blue background, from the Danish King Friedrich II. It refers to the House of Oldenburg, then and now the Danish Royal House. There are historical data about a crown on a blue background dating back to 1349. For many, however, the crown symbolizes the fertile soil, while the blue background represents the sea. As part of the Vogelfluglinie, the direct transport link between the Copenhagen and Hamburg conurbations, Fehmarn has been connected with the mainland by the Fehmarn Sound Bridge since 1963. There is also a 19-kilometre ferry connection from Puttgarden in the north to Rödby in Denmark. Fehmarn’s Staberhuk is the most easterly and Marienleuchte is the most northeasterly point of Schleswig-Holstein. By the way, the inhabitants of the island are called Fehmaraner and not, as is often assumed, Fehmarner.",https://www.fehmarn.de/en/sunny-island/fehmarn/about-fehmarn
Fischland Darß-Zingst,0,1,1,0,0,1,1,1,0,1,0,1,0,0,0,1,1,https://s3.eu-central-1.amazonaws.com/uberall-userpics-prod/668680/uE8XSHAlSJ.jpg,"The peninsula Fischland-Darß-Zingst is located on the Baltic Sea coast of Mecklenburg-Vorpommern. It consists largely of the unspoiled national park ""Vorpommersche Boddenlandschaft"", a unique natural landscape where wind and waves constantly recreate the coast, deer stroll along the beach and thousands of cranes rest. The powdery soft beach, the mystical wind flukes on the Darß west beach and the wide open view over the sea - this is what makes the Darß and its region so unique. Many have sea and beach, but Fischland-Darß-Zingst can do more! Lively places that live their traditions, authentic inhabitants, centuries-old handicrafts, maritime flair - paired with vastness, a lot of closeness to nature and deceleration at any time of the year - all this and much more makes us special. Convince yourselves!",https://www.fischland-darss-zingst.de/
Mecklenburgische Seenplatte,0,1,0,1,0,1,1,1,1,0,1,1,0,0,0,1,1,https://de.wikipedia.org/wiki/Mecklenburgische_Seenplatte#/media/Datei:K%C3%B6lpinsee_bei_Jabel.jpg,"The Mecklenburg Lake Plateau or Mecklenburg Lakeland (German: Mecklenburger / Mecklenburgische Seenplatte or Seenland) is the largest coherent lake and canal region in Germany and is sometimes called ""the land of a thousand lakes"". There are several nature parks and well-known lakes with unique flora and fauna in the region, such as the Müritz, the biggest German lake lying entirely within Germany, the Plauer See, the Fleesensee, the Tollensesee, the Schmaler Luzin and the Kölpinsee.",https://en.wikipedia.org/wiki/Mecklenburg_Lake_Plateau
Lübeck,1,0,1,0,0,1,1,0,1,0,1,0,1,1,0,0,0,https://img.fotocommunity.com/luebeck-im-weitblick-d65899a9-fef3-41cd-b124-163c9574ff69.jpg?height=400,"Lübeck, the Queen of all the Hanseatic cities, was founded in 1143 as 'the first western city on the Baltic coast'. A Medieval ambiance and historical and cultural attractions still dominate the wonderful cityscape today and hark back to the city's glorious past as a Free and Hanseatic city.",https://www.germany.travel/en/cities-culture/luebeck.html
Hamburg,1,0,1,1,0,1,1,0,1,0,1,0,1,1,1,0,0,https://img.fotocommunity.com/hh-39d77d0e-f207-4322-961a-a0ffd0e1fae1.jpg?height=400,"The gateway to the world, a beautiful seafaring hub, the maritime capital of the north – even the normally reserved locals find it hard to conceal their pride in their home city, its ambiance and its cosmopolitan charm.",https://www.germany.travel/en/cities-culture/hamburg.html
Sylt Island,0,1,1,0,0,1,1,1,1,0,1,1,0,0,0,1,1,https://img.fotocommunity.com/verwehte-strandkoerbe-auf-sylt-820991da-d8d1-4328-8010-12287f90d677.jpg?height=400,"The largest of the North Frisian islands is a popular destination among foodies and water sports fans. Located just off Schleswig-Holstein's North Sea coast, Sylt has plenty to offer holidaymakers with wellness on their mind.",https://www.germany.travel/en/nature-outdoor-activities/sylt-island.html
Lüneburger Heide,0,1,0,0,0,1,1,1,1,0,0,1,0,0,0,1,1,https://images.reisereporter.de/6NT4uUeSvkkXB2NgRTe1i6WRmD_yOibbnx9BkZtfBEc/g:sm/rs:fill:1200:900/NTRlNDYzMTItYTY/xZC00NTk4LTkzZT/ctMmNkYmI4ODdkM/zk1LmpwZw,"In 1921 the Lüneburg Heathland was declared a nature reserve and is therefore not only the oldest, but also the largest nature reserve in Germany. The flora and fauna in this protected natural landscape are impressively diverse. With your camera packed and ready, let’s begin capturing nature’s beauty.",https://www.germany.travel/en/campaign/german-local-culture/green/lueneburg-heathland.html
Spreewald,0,1,0,1,0,1,1,1,1,0,0,1,0,1,0,1,1,https://img.fotocommunity.com/kleiner-spreewald-hafen-6ba13361-bcdf-407a-a3a2-769523a831cb.jpg?height=400,"A landscape unique to Central Europe can be found 100 kilometres to the south-east of Berlin – the Spree Forest, a water meadow setting that has managed to stay largely natural despite centuries of human intervention.",https://www.germany.travel/en/nature-outdoor-activities/unesco-spree-forest-biosphere-reserve.html
